total_output_power,pa1,pa2,pa3
692.3,224.69,225.16,225.23
693.73,224.04,227.74,224.6
695.98,225.02,227.73,226.13
696.6,224.77,227.62,225.91
696.74,224.57,227.33,227.36
693.36,224.62,226.93,224.76
695.11,224.4,227.52,226.96
693.64,224.46,227.27,224.44
694.41,224.08,226.13,226.47
695.64,225.2,227.09,226.1
695.68,225.31,227.21,225.35
696.83,225.09,227.71,225.38
699.03,225.67,227.19,226.75
694.99,224.48,227.25,224.45
697.92,224.04,227.1,227.59
698.59,224.52,227.74,227.47
694.67,224.49,227.42,224.56
697.26,224.18,227.4,226.66
696.43,224.25,227.07,224.75
694.08,225.28,225.32,224.92
693.59,224.33,226.38,225.51
695.71,224.34,227.04,225.93
694.84,224.79,225.1,226.41
692.9,224.55,225.77,225.17
695.68,225.54,226.46,225.52
694.78,225.04,224.82,224.62
696.69,225.46,226.52,226.26
692.9,225.24,225.7,224.92
693.29,225,226.12,224.62
693.65,224.29,225.55,224.7
693.66,224.36,225.44,225.72
693.94,224.32,225.87,225.74
693.1,224.4,226.04,225.02
694.41,224.92,225.72,225.08
693.43,225.67,225.82,225.38
694.27,225.27,225.6,225.45
692.92,225.61,225.21,225.35
694.09,225.08,225.93,225.93
693.05,224.02,227,224.54
692.83,224.6,226.76,225.41
694.68,225.01,226.24,224.48
694.23,225,225.84,224.48
693.76,225.83,226.25,224.59
694.49,225.19,226.73,225.23
694.48,225.28,226.56,224.87
694.85,226.3,226.97,225.29
695.4,224.21,226.46,225.86
694.72,224.8,226.89,225.73
694.44,225.16,226.87,225.03
694.19,224.69,227.09,225.12
695.46,224.81,226.88,224.95
693.12,224.07,227.53,225.49
694.22,224.28,226.74,225.85
694.56,224.17,226.41,226.81
698.23,224.93,227.7,226.34
695.24,224.68,227.19,225.03
695.33,223.92,226.97,225.63
695.51,225.64,226.52,225.81
695.84,225.24,226.58,227.56
695.41,225.25,226.35,226.14
694.08,225.38,226.48,225.73
692.81,223.84,226.99,224.63
693.39,224.89,226.98,225.12
694.43,225.4,227.85,225.25
693.76,224.88,227.52,225.45
693.4,224.5,227.35,225.56
692.62,224.49,226.88,224.64
695.91,224.56,226.94,226.81
693.85,224.61,227.2,224.23
696.28,224.85,227.52,225.5
692.16,225.35,225.21,225.01
693.71,224.39,226.59,225.83
692.9,224.32,226.76,226.16
693.96,225.08,227.3,225.73
694.41,225.96,227,224.91
694.01,225.77,226.89,224.88
694.85,225.28,227.01,225.14
695.34,224.92,227.2,225.41
692.42,225.61,225.35,224.72
692.5,224.81,225.01,224.69
692.26,224.03,225.07,225.23
692.16,223.84,225.49,225.66
692.15,223.91,225.79,225.82
694.23,224.81,227.07,225.28
694.37,225.32,227.2,225.23
694.34,224.71,227.4,225.29
696.21,224.96,226.86,225.53
695.4,224.45,227.02,225.29
694.98,225.02,226.83,225.75
695.32,223.87,226.83,226.16
694.64,225.03,225.11,225.73
694.33,225.34,225.21,225.52
693.74,224.51,225.53,225.64
692.68,224.63,224.74,225.18
695.02,225.73,225.83,225.37
693.55,224.4,225.18,225.77
695.64,225.55,226.12,225.29
696.2,225.46,226.97,225.14
694.6,225.51,227.23,226.53
694.79,224.53,225.98,226.08
694.04,225.55,226.21,225.95
695.35,224.72,227.62,225.28
694.69,225.05,227.34,226.13
695.36,224.96,227.36,226.1
692.16,223.77,225.75,225.55
693.47,224.21,224.89,225.69
692.81,224.72,225.1,225.93
694.43,225.74,225.73,225.74
693.18,224.73,225.54,225.14
693.46,224.64,225.11,225.47
692.36,224.25,225.22,225.51
694.66,225,225.06,225.67
694.06,224.42,225.73,225.58
693.15,224.14,225.56,226.03
693.14,224.53,224.92,224.8
695.68,225.05,226.53,225.03
693.15,225.12,225.38,225.15
693.43,225.03,225.56,225.33
692.63,225.01,225.62,224.96
693.58,225.04,226.48,224.65
695.12,224.72,227.43,225.59
695.38,224.39,227.72,224.81
696.65,224.81,227.94,225.73
693.98,224.87,225.25,226.05
694.55,225.75,225.16,224.95
695.73,225.26,225.79,225.98
693.63,224.66,225.67,225.55
693.89,224.79,224.81,224.91
693.33,224.69,225.07,224.91
695.5,224.86,225.61,225.09
694.42,224.18,225.92,225.72
692.54,223.96,225.62,226.18
695.02,225.12,225.59,226.12
691.92,224.93,225.06,225.68
692.82,224.81,224.98,225.5
693.14,225.06,224.95,225.52
693.15,224.93,225.32,226.15
693.14,224.85,224.91,225.02
695.46,224.67,226.43,225.05
696.83,225.58,227.91,225.8
696.01,225.9,227.7,224.92
694.81,225.3,227.72,225.51
693.26,223.73,227.27,224.98
694.7,225.07,227.11,225.18
694.35,225.09,226.99,225.1
695.91,224.19,226.68,226.42
694.81,224.17,226.61,226.94
694.65,224.76,226.63,226.73
693.95,224.96,226.49,225.87
694.84,224.51,226.91,224.89
695.3,224.39,227.09,224.68
695.09,224.17,227.2,224.61
695.38,224.18,226.45,226.19
693.68,224.93,226.24,224.85
695.35,225.03,227.2,225.17
696.67,226.02,227.74,225.7
695.55,224.85,226.92,224.54
694.74,225.03,227.41,224.56
694.85,224.2,226.41,225.85
