total_output_power,pa1,pa2,pa3
646.96,209.94,210.06,208.94
646.02,209.23,209.29,208.72
648.22,210.36,210.48,207.97
649.25,211.04,211.34,207.97
645.48,209.27,210.33,207.87
644.43,208.34,208.83,208.08
646.26,209.22,210.86,208.92
647.5,210.66,211.17,208.69
647.3,209.94,210.95,208.97
646.93,209.02,210.85,208.93
646.84,209.5,211.24,209.35
648.05,209.62,210.87,209.16
647.21,209.85,209.89,209.66
646.1,210.18,210.47,207.92
646.59,209.78,210.3,208.79
646.23,209.14,209.71,208.53
645.69,209.34,209.36,209.13
647.06,209.75,209.25,209.7
647.9,210.12,210.19,209.74
646.46,209.69,210.46,208.33
643.73,209.91,209.82,206.94
646.54,209.34,209.89,209.7
646.85,210.1,209.5,209.7
647.76,209.8,210.48,210.29
648.33,209.8,210.09,209.51
646.33,209.41,210.72,208.44
646.07,210.43,211.18,207.85
646.17,210.28,210.97,207.33
645.22,210.18,210.39,207.32
646.3,210.12,210.43,207.02
644.17,210.18,210.35,207.02
644.8,209.51,210.11,206.94
646.56,208.85,209.9,208.74
647.14,209.91,210.08,209.3
646.84,209.94,209.95,209.76
646.47,210.26,209.64,208.74
644.62,209.8,210.49,206.44
646.78,210.01,209.82,208.7
646.95,209.29,209.77,208.56
646.3,208.91,209.18,208.78
646.53,208.95,209.32,208.44
647.41,209.31,210.26,209.59
647.79,210.01,210.52,209.87
647.56,209.63,210.02,209.33
645.2,210.28,210.96,207.28
645.63,210.32,210.57,206.83
646.53,210.14,210.51,207.12
645.57,210.18,210.72,207.22
644.43,209.38,210.46,206.73
645.39,209.44,209.9,208.54
645.4,209.16,209.1,208.2
645.08,208.4,210.53,207.87
648.31,209.78,211.12,208.09
645.49,209.07,210.91,208.62
644.9,208.73,210.66,208.54
646.71,210.69,210.62,208.1
647.38,210.36,210.11,207.97
647.75,210.1,210.96,208.36
648.32,210.97,211.17,208.16
646.57,210.43,210.12,207.7
646.04,210.23,209.9,207.45
647.19,210.52,210.19,207.67
645.88,210.26,210.19,207.58
647.19,209.8,210.49,209.35
647.89,210.13,210.32,209.4
648.99,210.48,210.87,210.09
